	15948X11	15948X12	15948X13	15948X14	15948X15	15948X16	15948X17	15948X18	15948X20
Gnai3	10.064528185054211	10.37858743262092	11.952053095577844	11.56577615687096	11.1104964012023	10.6274117080844	11.478365141330718	12.62904588081551	10.189637802081707
H19	19.93910506348182	9.656927059448	12.30921894106021	12.564579777761432	15.697114273157274	17.247618526722174	14.385992802606921	12.139652265341613	16.75268858696316
Narf	29.683646054454687	29.875131171013212	27.615491510715586	29.108565141588674	25.800269898034724	29.80235231333384	29.968416983661584	36.37572313311222	32.19131220425615
Cav2	21.253097233580377	22.845988670105537	22.111516888602683	20.93390873027013	22.508140648228025	25.582865752461075	25.066369418249423	26.835922531679582	23.00194141176264
Klf6	35.41204191631701	38.875753867569436	39.96053183327381	37.519020743673565	35.28301544828279	31.2189852313435	22.233708080440692	31.617795488099482	27.825675212969074
Scmh1	9.628668161268443	10.226790195616699	10.522710010195413	11.21498553965962	11.210009876668448	9.711065164003497	12.107698686268188	9.775949309466716	11.886656523921433
Cox5a	202.032435157611	188.305082943009	186.9472721613305	186.3431073339353	172.11497258084447	202.49417615377175	203.94908298943835	197.9197811447868	168.16438309831915
Tbx2	1.7666711118693899	1.9763863056173256	1.9167024210517902	1.8625756588011129	1.7954525293560657	1.8660384348204577	2.490142818655621	2.115382016691744	2.291684949695983
Wnt9a	1.484232959137722	1.4886532497233949	1.5827861617745191	1.730278877829074	1.9763774583648896	1.76125939136594	1.8962738957495344	2.3103539736518868	1.7846811667443843
Fer	15.269427235690143	15.515775994426145	15.052465903585285	14.726741543974079	15.518352268316649	14.891701624369361	14.990389742914246	14.465459627545314	14.947380104922692
Xpo6	7.532558148654569	7.883469234118002	7.2911810058374025	7.884581102125006	9.127273505957623	6.91276731104547	8.774986532542835	7.637299809503107	7.8316249713287895
Tfe3	2.482126310062412	2.53833257972747	2.4376623873175935	3.079142025302653	2.7056897865040037	2.4289284291981788	2.8275665715448173	2.410645763925614	2.9574551387178953
Brat1	2.637074516786598	2.2228083119896804	2.2651353260140885	2.7997906581458403	2.9927387969450825	2.622630004816982	2.987642631751342	2.705828464503349	2.0998640786330065
Gna12	40.62501158164445	42.46409542141306	39.6237607708269	39.17796461584877	38.32666554258509	34.699874094497545	35.113672791624865	35.220389734902085	35.57893970476331
Dlat	101.43821872590128	99.76522425544042	98.09389521771936	97.56016848871194	93.6441987597143	105.74764759795636	104.22914670368381	105.42854503515521	95.01858935193802
Sdhd	287.6132400801222	259.76334090461745	255.23085298652853	267.7592032699263	231.0759130957408	294.5066069201991	289.5601888037327	278.57522331395904	238.02231653239429
Ccnd2	27.596416096801743	27.743667662775465	28.680346588925712	28.549712300042273	27.461362795674038	20.95608511122513	23.94820337784957	20.722280282979085	24.439810224172717
Gpr107	8.334594763204894	7.560404054594556	7.696265873449708	8.415895686583045	7.7386502840218805	8.620318334619695	9.92588239924153	9.835147318074215	8.55219748746953
Gmpr	67.87218838426526	59.224530637096805	57.82695346615488	64.70698406239272	57.524076423164324	70.898175058663	64.90663820248089	64.2561653875237	62.69966780097057
Mid2	6.541654402425051	6.593975049484396	6.730714678503502	7.291232787600577	7.250781616881357	7.392980282321983	7.318103070471014	7.902375184685436	7.259197639079141
Trim25	6.6554174156969825	7.367812744605949	6.580313130525907	6.49914932363705	9.197867119377165	8.024645267832488	8.980207551869887	9.173430161307182	7.923800609344869
Dgke	5.032735766440032	5.891478549342593	5.280092963064825	5.598717416492575	6.000150670759977	6.615069502371053	7.25458412898498	7.021099057208873	5.78270344589852
Scpep1	6.344618142923481	6.442075356933667	6.6688991910108255	5.293709160049306	6.600294891803347	6.373601666963603	7.387010801377537	7.849853250883467	7.40840816045071
Mnt	1.6371833272580143	1.435680113022998	1.5510837191498976	1.5052193452892153	1.4742096564437455	1.1647444614921723	2.0213005543960176	1.6147763005975047	1.7159265120927194
Itgb2	2.6131495432091403	3.3836369936473836	2.425666638713855	2.6660371243426955	2.88242507895578	2.0250670750943445	2.984371516596068	2.640654267467589	2.7005448943444215
Tpd52l1	4.5207829581075565	4.597222242647323	4.406256829957278	4.6885852557753696	4.546197001418472	6.003209161833579	4.243191346476404	4.085173881872181	4.0327378195361465
Cdh4	0.8292466235382795	0.9929015778524543	0.743005037664165	0.7291364561584042	0.8747009463949573	0.8107559556283324	1.115216282821423	1.8213586060077103	0.8822965219468777
Bcl6b	11.199212328039174	12.138022773739893	12.64032511385144	9.778544469907466	7.645178177011985	9.23192343057716	9.474846348731333	7.374031309282473	8.178915776989067
Arvcf	4.195532928341623	4.453496212667604	4.34783114214363	4.874515702328176	4.135463608702129	4.5874364296916905	4.796025124962636	5.063171880782873	4.10660679025037
Comt	60.69259684045295	77.6247123596919	69.88698622848167	67.93494854598873	80.00338232427174	66.59916307822598	75.04768084673586	71.84903995905812	71.34455410690718
Rtca	9.583265756239292	9.87018819233165	10.262132806680706	9.7888170228975	8.361477719478183	10.481056066203477	10.18575702834756	11.35422716105406	8.794239418220176
Dbt	30.713865254692102	32.04054410371031	33.01901268149214	27.349957801151607	29.024301914549593	29.73416231323206	27.32800405221913	22.74045928434568	20.926530943148546
Dazap2	58.71062481572762	57.71837524173442	58.47544106742946	53.631088453250065	51.046196362434394	54.38514445818361	55.87147935904951	58.007679139317254	54.184906033128236
Mcts1	22.970542782670385	22.72335075439848	22.298420297466915	18.242255374136633	19.051502535076303	20.0566988088846	16.6097634842456	22.123859739942553	17.072410251602665
Rem1	3.5557330782950594	2.7738064961773254	3.210827241836153	2.6140762295914373	3.5757219951024424	3.817549777763542	3.8355180769488473	3.3167621282882083	3.25877132510561
Trappc10	17.366878400118605	16.565826962941337	16.77647918288831	17.76524289228112	16.444154554853057	13.985782491828267	16.61011983641954	15.93217030614502	15.276222900641233
Ccm2	8.254747730489585	9.35442567721773	8.210988317966358	9.693145803821794	9.32543279348907	8.182557086259845	8.515560044563301	8.256593318110077	8.283593254449832
Tbrg4	20.549385552066767	20.145552655396102	20.2229066067264	20.93693431805104	18.28143885945719	21.177136780718715	23.965265387562287	19.719132138017596	23.521506883846506
Fap	3.9316383704818376	4.999216424254219	4.256997919715799	4.1427259814951904	3.5402628129107736	4.516139731909476	4.3051088188156506	6.673472614526347	4.41057516516154
Ndufa9	249.19603735878448	243.52512787724217	238.7821696887945	242.28758714589256	236.4450969031499	273.43660878155384	259.862390917104	262.9655474035961	228.42472994653818
Galnt1	33.18189212529912	31.541233305848216	34.517087608419125	34.18460784091713	32.357137004916716	33.63321905209334	30.832064686092114	31.469324827375452	31.977780413556783
Mkrn2	8.93779834590863	8.118217968154482	7.67290279138288	7.326756353613304	7.438380490370906	7.6159424670081055	8.230536786510417	8.134219368413559	6.866232925588385
Pparg	8.058162658622068	10.853741654453865	10.250447549696323	11.361192667320037	13.316133769477322	12.382689556238654	11.577720818358333	14.925039369987726	11.493244293106905
Raf1	41.78818995185182	41.206832351844405	40.049605948582126	42.14019157803476	39.59650197838459	42.69329288483301	44.38305113223834	41.70193109382527	41.4644815086777
Pdgfb	10.565832962339949	8.42188046599628	9.154991662402843	10.626486887577979	9.472379734214876	9.590522314708867	12.943316887106194	12.93930842046182	12.370225107246002
Acvrl1	8.156349418030727	8.961365386796436	8.871401416837223	9.532978414959382	9.196229555796588	8.238657156127301	9.580899181488718	9.7785682013598	9.746865664477872
Grasp	3.8478356178727804	4.254341062908472	4.043924087538407	4.00935388263394	4.841298446953838	4.108903927577065	3.5449281075950467	5.765382570636739	3.6608734645418255
Acvr1b	5.088822713566917	4.773035196940198	4.45072654844991	4.638746989709258	5.58106872950865	5.08615901584781	5.981230365938435	5.169478858243166	5.969693377040833
Tom1l2	25.653566787032723	27.50132276114326	24.58405417464956	25.467316257856282	27.7281922469337	26.81978336476595	35.19629374606257	30.0497491870729	30.946989141630986
Itga5	9.766017545402224	10.354822491280965	11.307151878226122	11.745411172275741	11.355497154962597	9.365648548036841	9.662779719117106	8.452472949375865	10.081725679452738
Wdr77	5.202433911601959	5.535039241155395	4.904199773300423	4.346918975212213	4.389468163734609	4.891982787857693	4.851176912610218	4.443924870489921	4.450785168467153
Atp5pb	292.25645309558496	278.11600862976394	283.6144611279785	291.898762866329	270.2478162752246	303.12898080446166	297.1584774524547	306.2652309167413	257.1486350922575
Hnrnpd	5.525613423634656	5.3455423206922585	5.649546809761006	5.5961981300652965	6.156592789156596	5.371883626378956	5.570320137936527	4.833693221877149	5.230231487945501
C1d	8.781670183425552	9.395011675543822	9.21195214042492	8.255050917896366	8.68415183321079	8.37862161604994	8.419885980367775	9.251552196147752	7.902063149502876
Gm2a	6.253594574743465	7.025683441389016	7.023608180296786	7.8437556553143235	7.353350102542496	7.165263378741258	7.085423191507225	7.7684624727242255	6.127995637760183
Krit1	16.243071122860115	15.789716363063977	16.398441019113037	16.438043091045458	15.547663475903349	15.997467576160696	14.602621359412394	16.890950568684946	15.43019076238278
Clcn4	27.94333529646414	27.302424068185047	29.32504880722777	29.150792163215407	28.218182823441836	26.527081972671983	25.22696570277924	26.115227118390603	25.408654876243457
Hk2	85.56133213217522	94.80342271819094	76.10020825439707	80.50125850913093	71.03077014382481	78.07922888008304	91.07136574961078	85.7619035419613	96.37434634614687
Myo18a	33.6714238881822	36.81693969061682	33.200567871646136	32.90929040103495	36.435595679841875	31.36556123082621	38.36996588707962	35.35459337651409	39.807683850747516
Loxl3	1.518097229923319	1.4271406540784066	2.0682197677432748	1.6291045902343835	1.7262557503745308	1.8957207337312545	1.8799078114215735	4.016872197926459	2.2216900143809317
Kat2b	38.46916196841825	37.65432099139163	39.49070292414247	37.30449943698541	37.74438140082496	36.013160927652976	34.27072083583674	36.97039456066385	34.67692207631451
Rab5b	21.635962558902094	22.147228064281073	23.02794912419848	23.99655335087478	20.42431504511696	21.80290376840963	22.011779158952926	21.789914687264176	21.086559623764295
Icosl	2.5829029143203353	2.693048143778214	2.680615672106833	3.3379801321649265	3.6069415368213176	3.3247369889608644	2.53162815020016	3.185193694539036	3.261102879097986
Spg7	26.548915606011924	27.084253777685376	25.288981548874624	27.817916426356877	26.093035814559133	26.60256134763893	26.086997084370253	25.05318968165527	28.390813704206156
Rpl13	45.07839375615768	36.68886361964301	38.05179844418159	36.58682560386164	33.42853264551534	38.563951911887415	39.420255311629475	44.55830511118802	28.514133241960653
Chmp1a	19.630021234801376	18.12957055807996	17.782843500407296	18.355203917925095	16.480586796505353	16.43356125834447	18.735148780140257	20.378083836066768	15.667116729806182
Rpa1	11.974576348780905	10.481072804631209	10.967984927309917	11.926414785349325	11.510539880249524	10.612456345623185	10.719727958815074	9.132753027152754	9.12295931573778
Serpinf1	12.070330099188508	14.433110819643524	15.313383653483363	14.110462027710899	13.710983766324384	20.47312967499516	18.900633917241535	29.919769776050188	19.642137433755558
Tubgcp3	6.058413866836705	6.533360325655365	6.15973947766626	6.591118417839461	6.412264128871237	5.735301995304542	6.222922444674397	6.624904962960363	6.627420858762125
Polr3d	10.942931140414263	9.891143573949536	9.092879353298242	11.269918685796148	11.074874730936498	10.195096544397218	11.57764408169499	11.494026349055977	9.992346565195714
Ddx3x	108.38316994705941	115.21918102707802	114.36231784865686	112.47231312101216	115.89735204215847	109.91880222023443	101.07483604935443	108.53819317754788	101.4104355197198
Kcnn3	0.6445541374749513	0.8223343947834549	0.8155462697341295	0.6442605525897125	0.7398935336974644	0.8138387496582847	1.2454478601978538	0.6219676997395158	0.8256546993774514
Usp32	9.83364836914031	10.499441328475877	10.118283567438613	9.817783270216879	10.437069177459701	9.143380264622062	10.546977288186124	10.410996777258974	9.855667883230598
Car4	11.622749418470592	12.85425215843959	15.520540285738425	14.462677037870664	18.65196391651041	18.09016925362942	15.103284418585066	19.96778770686825	16.281022186445096
Txnrd3	8.622524724355973	8.394058650943835	7.889806264343979	7.992802745218893	8.748571409713763	9.160465176169456	7.7988504572239306	7.810044311812553	7.821985759712005
Zfp512b	4.408930369605201	4.339169774570012	4.583390731427178	4.238740487589675	4.898356758519649	4.268801700999542	5.233503558972725	4.358973289809597	4.2489724321237
Dnajc5	14.514029354900266	13.211099808658057	12.858944176034534	12.816174922941917	12.671402260660953	12.825989208896038	12.3160244846116	13.376992206857848	13.884750392326737
Tpd52l2	15.74510409316748	16.803643537677065	14.725793629588328	14.99572431598742	14.170758025266158	16.29875488312299	16.71458917910844	16.409163967828444	13.737609950414216
Fmr1	7.795505247165395	7.3796774464627655	8.592826899230523	8.856259968306354	8.161970471555955	8.090048807880022	8.022566656630486	9.988663951875502	7.669916328686762
Pxmp4	11.859761065207493	10.986890818324259	10.818576552611871	10.270706577242846	12.461754335338135	11.770838515999712	10.395492946259548	10.104756196919011	8.912402674773833
Dlg3	1.976659859772511	1.8553024821149051	2.466478837550216	2.429282499716172	2.544211738341338	2.43092813628776	2.295071696784866	2.370618048227819	2.2900127233285494
Dbh	3.2342552843906236	2.033481672623728	2.7565511852726923	2.403083665577658	1.707403870587321	1.8003020872336577	1.5580669857833165	1.823642441250353	3.879044565152227
Mmp11	2.3152217793542524	2.1961105487615233	2.14852599334044	2.4767907108217635	2.5093428831075197	2.3366158558780903	3.801533631178044	3.277101053614417	2.5580785186812416
Smarcb1	2.408861622231783	2.557178583250159	2.0616546083676406	2.3681926170325545	2.16319838226993	2.4922123021336464	2.504821437633775	2.3048802841715554	2.592774990000839
Hip1r	5.167268345862173	5.332480455430855	4.907899327695111	6.097341815754021	5.1072007140272735	5.110024490160117	6.60483912065428	5.528059997114656	5.364352104578698
Nsun5	4.695880158056551	4.884304717995707	5.214569397829906	5.295227547457294	5.256498785135107	5.213893160352137	4.690293341881372	4.956636125552305	5.412088380997509
Top1mt	4.499105530628454	4.544968670989451	3.7411845879653334	5.221480393136323	4.794896310083238	3.9945325975488157	3.2647357361066596	4.483560221648267	3.64516605016963
Gm38393	4.005204713710733	2.782701417948786	3.487532300051649	4.4364906800291015	3.9712975741766563	3.8191828886399573	2.7773721377260134	2.9333641819278675	4.514966832810279
Mmp14	4.7556877551123735	5.672942762843383	5.025659063547537	5.825750744859956	5.936800145885499	6.010940681130488	7.905096811593951	8.65033880523553	6.940142960450261
Oxa1l	30.506601430220186	28.00912624755373	26.78251700467288	29.05724650540381	26.07549913762966	29.984038356265415	30.517260934768906	30.595656353602152	31.34588768967346
Heatr6	3.0501595385771103	3.5067586408696094	3.0496331507994516	3.4569259009766404	3.451575657883197	3.31814851389813	3.6298464743605265	3.131730343633192	3.2692353052304
Ilf2	12.622541334049838	11.808321599005781	11.935907215858938	12.893183121252395	12.236909215886497	13.188193376640626	11.691897995147903	12.354762197968572	11.04287535799139
Chtop	25.89022696468252	25.29080334193875	25.970566407723414	27.91011376292911	25.08814577223976	24.519042095899746	25.33186342191272	24.42364864164615	23.804925979928875
Snapin	39.934950599206076	39.007141981600675	39.25663482952937	35.79457428461755	35.362472061219556	34.31480360131341	32.95443668849943	38.666572692978036	32.1187521687316
S100a6	20.453223025665412	21.040139587406003	21.324217468936812	19.927681142399255	20.36088415260732	26.35108832869413	22.745854452947796	31.039445008277614	19.748625912664703
Scn4a	5.965388258092403	6.729097750113722	4.9455780147947825	6.318070165711122	9.028005662201622	4.241269421636856	5.725034253308688	4.754618474918909	6.800865108976541
Icam2	13.501078512468442	13.493097318085685	16.792460300201505	12.716094295467707	13.995165065693264	16.289784876685204	18.286221174669844	14.789764433691543	16.176283274235367
Mapk7	1.8749035268390262	1.3799958471952123	1.3399311674143461	1.8317302508808737	1.4152166041013923	1.695121625506651	1.8373523924688737	2.338640622140744	1.7731981067159521
Epn2	11.854886266490995	12.0102950235647	11.597340536135674	11.04006585296055	11.579436150431517	11.842417821379446	10.94462255218383	11.638125288963172	11.34600179319707
Sec24b	6.8826672487939655	7.324824258389371	6.7269009273444995	6.055282997841766	7.93725790154318	5.652555352209765	7.592335646726879	7.092364307974809	8.581321005234617
N4bp3	4.736126548528607	6.229241326894938	4.83397221000681	4.460290246048617	4.916155430536134	5.893612511008098	7.839264507543491	8.010341362058538	5.891744744315289
Rmnd5b	6.393794910817843	6.814961759525085	6.141082270081622	5.265669116273253	7.165129994226257	7.1257177783702605	8.173046141251847	7.263193479993413	7.1292404866113115
Nhp2	7.507341469419734	9.407183715622502	10.004745170921964	9.386967113314551	8.314133459838144	11.54404839353206	7.63183675185993	8.353726567803387	8.806855567928725
Vps9d1	5.944277251752311	5.7071948074765135	5.846120963907401	7.443521710492652	6.389948345658753	6.356129955001505	6.687447116678685	6.531109736212042	6.146273208594383
Zfp276	6.862275809859081	5.389955583649434	5.257282838954135	6.325863267047199	6.072667328856058	5.689497620369663	5.662189513444852	5.68130905893499	7.013104187940003
Mfsd10	2.648581415807901	2.850845132663785	2.2222245957556215	3.0123365885645126	2.7956361793074413	1.9711750173801141	3.2578878373418845	2.6664160800771346	2.576576797960097
Luzp1	15.443931058537679	14.950883882287098	14.764104705508709	14.86353934288993	14.610365765346515	15.439252914572101	14.418916925524627	15.436622345192406	16.24504866595246
Kctd10	17.05145944048375	17.228334859351186	16.98936895361852	16.73658364602956	14.967333237403619	16.6368103164172	18.767183802277856	17.636749674120754	18.233282401067537
Poldip2	60.18622457792621	58.911725017534685	55.6647354258905	59.827787962600134	56.25374994915719	63.80957762120247	59.566984357564486	62.43514045751291	55.16079173647639
Ift20	20.954138918829077	20.32834463375494	18.084109575362238	18.95817265571076	20.07443588615002	20.471918439096427	20.23017138138963	19.644337263620862	20.185133032277697
Col6a1	30.121783889622442	33.59176315180713	33.79889788884518	34.440647875807535	35.65854927090726	45.536226257190066	46.42925612732884	56.60816769928156	46.61510766701111
Lgals9	11.146252622830918	14.282686181141859	14.001247965646458	10.32765549484359	11.118680877844092	12.166682151201284	16.452538993950878	15.976099200887917	14.260213462569542
Araf	29.481318227245378	28.111587482863506	27.14318868922815	27.9887740523017	27.930224757343257	27.015381061798635	27.74785915980047	27.17785278013841	22.68500675277255
Cfp	4.442719315951971	6.444764517139913	4.403563518936522	5.029734212363773	4.480750315810834	5.667650287339995	6.835590336466843	5.952806219301954	5.432586925664446
Uxt	12.107948414085781	12.614705861656073	12.785994608959728	10.557507012397076	12.947389899566847	14.320117173881439	10.697836311720229	12.016510734997881	10.900608704028695
Cnnm3	2.502469496958867	2.4904655021827518	2.0980706040736283	2.6404329262697765	3.0707003086639397	2.2256795872104087	3.161965244076132	2.6219997239768453	3.031223860998841
Lman2l	5.034407117429722	4.157136885613583	5.3832980524832115	5.580400931915504	5.6663634555702505	4.64763363061719	4.894370935153893	4.073689379130937	4.607281171296613
Mcm3ap	6.660804282547027	6.241673461653373	6.026657890077575	6.848527897048689	6.795623363628615	6.459686692590313	7.011584265465838	5.980715723284356	5.643912722893245
Pcnt	19.597722375990617	19.276898856176235	19.26305926906536	20.80127462422927	23.828376469003896	17.009067556387386	18.507793062595017	14.171781400732145	17.05689962330891
Mxd1	1.9273397984173717	1.7653696203320723	1.4713260464319913	2.4123801038765658	2.2082555412760834	1.879783919631886	2.041637640143626	1.9209462186954236	1.966725996952793
Gmcl1	3.529897544561686	2.7932230072802477	3.0177493518557266	3.3694395348044845	2.8508021748116823	3.0025791067650127	3.1179831524585424	3.5654279054334173	2.793283080620196
Snrnp27	30.39945396108544	31.063724893233058	31.793909027819918	31.43770379020786	30.85938870391572	30.088869750095828	29.590611820711644	31.643674280747423	28.47173915231376
Ocrl	5.475952191998595	5.645149958973923	5.453532909909835	5.600854354512395	5.6697869178761	4.9455700056380305	5.345863376787665	5.250119378777165	5.447191671059456
Calm1	64.75403618980219	64.17620938758945	66.13617972531844	69.00750598840058	63.58268039505125	66.50241535671307	61.53910236521392	69.15663135886825	65.44469155698954
Agpat3	33.50680725202557	33.926855650803105	33.91643161781133	32.20683515856426	42.68142868475644	36.44485785208984	41.54328545223436	34.848309374927034	34.34059072507266
Sema6b	3.8085115799715656	3.9466312154069367	3.289499111859559	3.8855921151086665	3.910533389455757	3.71162922824104	3.1928696046994296	4.129265089929273	3.307303990129399
Dpp9	6.508524719528544	7.813533835391261	6.2390011558772205	6.915119642089905	7.088449389143455	6.19577687390261	7.286465086203951	6.392327318121708	7.365827263925692
Ramp2	17.920255179846176	17.667097723713233	19.955997859660048	18.96073803766688	20.324561658480953	19.15969669238873	18.3833631998737	23.032933975818246	22.83112535205092
Gramd1a	10.637781998733272	11.674792415153552	10.922578012157645	11.613746713498404	12.14956644742373	11.839466954783866	10.414444159872113	12.260294772326375	13.541229793688712
Ckb	10.891519985106079	9.371681336582009	9.463733641434255	9.542946841593402	7.258696974705322	10.680820047796388	10.270765862371553	11.141079489361282	10.104387344460726
Sp1	12.94033309944119	12.620339182849765	14.078575206831287	12.854692648118851	13.678318117770967	11.774913646436989	13.183020305340456	13.271045288512157	11.695069341641373
Myg1	9.322587559556933	9.406008618860387	8.761901250381264	9.388879944450895	9.490451046903361	8.071192168387004	9.738971409109094	9.550117913558907	8.788113589703723
Rarg	4.985223367831864	5.132568558477409	4.477440158757409	5.78337967054281	4.565520608136554	4.865509955230063	6.732453348660724	5.778675991734949	5.823691783943334
Pfdn5	79.92356895876544	71.97867414105133	74.46046873316139	80.11401687705768	70.71492968746432	79.67981079723263	73.47708931166274	81.07138129596203	69.1960506940702
Efnb2	5.641664545389231	6.049446184563418	5.994609643613286	5.441947135168655	6.085592154326534	5.577067680209754	5.029341408417813	6.113615045954773	6.738837223734144
Rrp15	3.3068825535251505	3.5698148864647683	3.261941100831892	2.8621199856681057	2.9179052708394964	3.3229896740814784	3.402434659068537	3.0939272292766877	2.7108368209722857
Srr	9.508279620493925	8.818429307363889	9.783903994881046	7.534120941769935	8.730803705215944	8.875065861347174	8.062017331141572	9.226509977611952	9.396056445042635
Sync	16.49600717160105	16.333017886664745	14.914083645351482	15.159258049232104	14.476646796022008	15.774664125734917	17.34959970034767	17.865608419680854	17.087579566360496
Fndc5	171.2328354702059	167.5168625036187	165.37013681820693	161.3542472275351	153.32304280016947	167.34013147003148	155.3910072839584	166.84696614904124	153.45961074050862
Fbxo9	13.491023296329326	12.193371103766845	12.860833535430649	13.004162793351114	13.630298077490691	14.536081818035104	15.183621851788615	14.037392489773021	14.552155506415305
Vps50	7.020136733515322	7.329138942958269	7.145971279447487	7.471819374124795	6.875132763409435	7.058554305536599	7.35506818968109	7.15386606279077	5.445282676900714
