geneid	15948X1	15948X2	15948X3	15948X4	15948X5	15948X6	15948X7	15948X8	15948X9	15948X10
ENSMUSG00000000001	38	50	297	75	60	154	558	226	115	67
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	6	15	36	5	8	12	45	19	18	10
ENSMUSG00000000031	23	54	259	71	32	113	486	168	423	75
ENSMUSG00000000037	1	1	10	1	0	6	17	6	1	4
ENSMUSG00000000049	0	0	0	0	0	1	1	2	0	0
ENSMUSG00000000056	191	234	958	242	268	972	2002	746	488	357
ENSMUSG00000000058	72	100	459	104	89	257	1006	326	206	178
ENSMUSG00000000078	208	407	1629	424	347	845	1427	677	301	366
ENSMUSG00000000085	50	76	285	86	64	142	316	208	70	79
ENSMUSG00000000088	203	261	1357	310	208	845	2918	836	446	250
ENSMUSG00000000093	7	9	32	12	4	21	90	31	17	6
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	8	1	0	1	28	15	1	1
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	3	2	18	2	1	6	22	32	8	4
ENSMUSG00000000127	76	118	443	140	68	290	654	314	161	131
ENSMUSG00000000131	76	85	315	96	62	212	499	364	128	94
ENSMUSG00000000134	17	19	89	28	20	50	177	92	27	17
ENSMUSG00000000142	3	6	44	12	3	21	28	22	14	6
ENSMUSG00000000148	1	7	25	7	2	18	74	30	10	8
ENSMUSG00000000149	104	162	646	137	111	380	1264	577	211	110
ENSMUSG00000000154	0	0	1	0	0	0	5	2	0	0
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	1	0	0	0	0	2	0	0
ENSMUSG00000000167	4	0	1	1	0	5	5	3	5	3
ENSMUSG00000000168	421	568	2596	692	609	1502	3672	1617	921	602
ENSMUSG00000000171	135	253	1227	254	166	775	2444	835	428	224
ENSMUSG00000000182	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	3	5	0	3	2	39	8	10	2
ENSMUSG00000000184	339	390	1317	299	254	733	1885	1236	427	264
ENSMUSG00000000194	32	60	239	61	48	128	504	211	111	65
ENSMUSG00000000197	4	4	28	6	5	23	46	66	22	12
ENSMUSG00000000202	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204	0	0	2	0	0	0	7	1	4	1
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	2	2	5	1	0	4	22	16	4	5
ENSMUSG00000000244	2	0	4	1	0	1	13	5	0	4
ENSMUSG00000000247	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253	75	104	439	68	54	299	717	315	144	80
ENSMUSG00000000263	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266	72	97	350	141	66	219	516	345	185	110
ENSMUSG00000000275	50	73	252	62	56	160	364	177	72	95
ENSMUSG00000000276	106	96	305	116	80	211	406	225	121	147
ENSMUSG00000000278	13	30	116	39	20	70	261	151	64	45
ENSMUSG00000000282	9	9	39	12	14	27	50	34	20	8
ENSMUSG00000000290	7	16	61	13	7	44	139	64	28	17
ENSMUSG00000000295	1	0	19	4	4	6	34	20	11	6
ENSMUSG00000000296	8	3	34	6	5	20	84	33	18	10
ENSMUSG00000000301	0	0	8	1	0	4	14	11	0	0
ENSMUSG00000000303	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000000305	15	9	52	17	16	47	207	138	21	20
ENSMUSG00000000308	0	1	6	0	0	5	17	8	3	1
ENSMUSG00000000317	34	53	288	58	21	119	602	180	74	59
ENSMUSG00000000318	5	4	19	1	1	14	14	7	3	1
ENSMUSG00000000320	5	7	30	10	6	9	48	30	28	3
ENSMUSG00000000325	9	10	68	7	11	54	227	80	35	10
ENSMUSG00000000326	103	153	717	151	126	448	1537	907	277	152
ENSMUSG00000000339	6	12	58	12	15	43	158	67	23	14
ENSMUSG00000000340	202	274	974	321	252	576	703	290	187	215
ENSMUSG00000000346	129	182	712	179	123	431	1267	799	283	172
ENSMUSG00000000355	22	34	130	53	39	96	219	100	67	52
ENSMUSG00000000359	4	11	43	5	5	10	56	25	13	12
ENSMUSG00000000365	1	0	2	2	0	7	23	7	2	3
ENSMUSG00000000374	62	83	372	76	74	230	698	359	127	88
ENSMUSG00000000378	8	21	80	21	12	35	186	88	37	28
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384	23	40	189	39	37	127	372	230	78	25
ENSMUSG00000000385	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000386	0	3	8	1	0	7	37	12	8	4
ENSMUSG00000000392	18	28	83	26	20	74	233	108	59	46
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399	330	459	2039	525	396	1383	3399	1201	711	442
ENSMUSG00000000402	0	0	3	0	0	1	3	1	0	0
ENSMUSG00000000409	0	0	3	0	0	2	5	4	0	0
ENSMUSG00000000411	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000416	6	9	22	7	5	16	36	34	2	15
ENSMUSG00000000420	190	293	1048	340	286	712	1662	817	385	294
ENSMUSG00000000435	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439	31	51	260	49	38	165	579	247	95	56
ENSMUSG00000000440	13	42	147	34	46	111	223	92	46	24
ENSMUSG00000000441	127	154	796	197	126	506	1269	535	199	144
ENSMUSG00000000486	4	2	7	4	0	7	38	13	10	2
ENSMUSG00000000489	22	32	127	20	18	85	396	145	70	19
ENSMUSG00000000530	20	34	148	47	38	133	424	124	88	40
ENSMUSG00000000531	13	18	65	8	11	39	87	51	26	21
ENSMUSG00000000532	18	27	110	26	18	62	179	84	36	24
ENSMUSG00000000538	143	154	643	158	151	464	1458	613	283	152
ENSMUSG00000000544	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	5	1	13	1	6	3	20	22	17	2
ENSMUSG00000000555	35	54	232	45	38	126	449	264	111	52
ENSMUSG00000000560	0	0	1	0	0	0	1	0	0	0
ENSMUSG00000000561	18	17	97	29	17	69	220	81	32	18
ENSMUSG00000000562	0	0	6	0	0	3	3	1	0	0
ENSMUSG00000000563	758	1062	4567	1263	918	2932	7024	2713	1563	1049
ENSMUSG00000000567	3	2	17	7	6	14	73	74	33	15
ENSMUSG00000000568	87	148	356	146	105	244	419	256	100	182
ENSMUSG00000000579	0	1	5	2	2	3	5	3	5	3
ENSMUSG00000000581	21	39	174	48	22	97	304	136	70	40
ENSMUSG00000000594	30	40	159	33	21	76	294	182	50	43
ENSMUSG00000000600	119	202	722	229	182	507	1137	558	271	197
ENSMUSG00000000605	256	335	1249	414	421	836	1205	633	314	436
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	0	1	1	1	0	0	2	1	0	1
ENSMUSG00000000628	528	680	2531	632	500	2292	10729	4257	1776	770
ENSMUSG00000000631	443	464	1592	520	372	1224	3646	1666	881	514
ENSMUSG00000000632	0	0	3	0	0	1	6	0	0	0
ENSMUSG00000000673	1	0	1	0	0	2	2	0	0	1
ENSMUSG00000000682	0	6	12	1	3	4	42	18	4	5
ENSMUSG00000000686	0	0	10	0	0	4	23	7	3	1
ENSMUSG00000000690	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000693	4	8	39	16	11	27	213	256	60	18
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000708	270	365	1460	408	335	901	1833	916	460	395
ENSMUSG00000000711	62	94	380	106	60	239	681	276	145	92
ENSMUSG00000000724	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730	0	0	0	1	0	0	0	1	0	0
ENSMUSG00000000731	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000732	10	7	46	11	3	32	76	40	18	12
ENSMUSG00000000738	150	151	809	198	159	513	965	383	292	204
ENSMUSG00000000739	0	0	3	0	1	4	14	4	4	0
ENSMUSG00000000740	24	42	200	46	29	114	589	226	76	25
ENSMUSG00000000743	14	17	100	20	12	94	369	103	55	21
ENSMUSG00000000751	57	78	332	76	37	200	396	257	58	67
ENSMUSG00000000753	19	35	148	29	13	116	1076	702	191	100
ENSMUSG00000000759	54	79	321	92	65	225	452	242	131	110
ENSMUSG00000000766	0	0	0	0	0	0	0	0	0	0
