"initial_alias","converted_alias","name","description","namespace"
"GO:0007166","ENSMUSG00000000058","Cav2","caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]","GO"
"GO:0007166","ENSMUSG00000000093","Tbx2","T-box 2 [Source:MGI Symbol;Acc:MGI:98494]","GO"
"GO:0007166","ENSMUSG00000000125","Wnt3","wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]","GO"
"GO:0007166","ENSMUSG00000000126","Wnt9a","wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]","GO"
"GO:0007166","ENSMUSG00000000127","Fer","fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]","GO"
"GO:0007166","ENSMUSG00000000142","Axin2","axin 2 [Source:MGI Symbol;Acc:MGI:1270862]","GO"
"GO:0007166","ENSMUSG00000000157","Itgb2l","integrin beta 2-like [Source:MGI Symbol;Acc:MGI:1277979]","GO"
"GO:0007166","ENSMUSG00000000182","Fgf23","fibroblast growth factor 23 [Source:MGI Symbol;Acc:MGI:1891427]","GO"
"GO:0007166","ENSMUSG00000000183","Fgf6","fibroblast growth factor 6 [Source:MGI Symbol;Acc:MGI:95520]","GO"
"GO:0007166","ENSMUSG00000000215","Ins2","insulin II [Source:MGI Symbol;Acc:MGI:96573]","GO"
"GO:0007166","ENSMUSG00000000244","Tspan32","tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360]","GO"
"GO:0007166","ENSMUSG00000000263","Glra1","glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]","GO"
"GO:0007166","ENSMUSG00000000290","Itgb2","integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]","GO"
"GO:0007166","ENSMUSG00000000409","Lck","lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]","GO"
"GO:0007166","ENSMUSG00000000440","Pparg","peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747]","GO"
"GO:0007166","ENSMUSG00000000441","Raf1","v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]","GO"
"GO:0007166","ENSMUSG00000000489","Pdgfb","platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]","GO"
"GO:0007166","ENSMUSG00000000530","Acvrl1","activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]","GO"
"GO:0007166","ENSMUSG00000000532","Acvr1b","activin A receptor, type 1B [Source:MGI Symbol;Acc:MGI:1338944]","GO"
