"initial_alias","converted_alias","name","description","namespace"
"GO:0048407","ENSMUSG00000000489","Pdgfb","platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]","GO"
"GO:0048407","ENSMUSG00000001119","Col6a1","collagen, type VI, alpha 1 [Source:MGI Symbol;Acc:MGI:88459]","GO"
"GO:0048407","ENSMUSG00000001506","Col1a1","collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]","GO"
"GO:0048407","ENSMUSG00000022483","Col2a1","collagen, type II, alpha 1 [Source:MGI Symbol;Acc:MGI:88452]","GO"
"GO:0048407","ENSMUSG00000025856","Pdgfa","platelet derived growth factor, alpha [Source:MGI Symbol;Acc:MGI:97527]","GO"
"GO:0048407","ENSMUSG00000026043","Col3a1","collagen, type III, alpha 1 [Source:MGI Symbol;Acc:MGI:88453]","GO"
"GO:0048407","ENSMUSG00000026837","Col5a1","collagen, type V, alpha 1 [Source:MGI Symbol;Acc:MGI:88457]","GO"
"GO:0048407","ENSMUSG00000029231","Pdgfra","platelet derived growth factor receptor, alpha polypeptide [Source:MGI Symbol;Acc:MGI:97530]","GO"
"GO:0048407","ENSMUSG00000029623","Pdap1","PDGFA associated protein 1 [Source:MGI Symbol;Acc:MGI:2448536]","GO"
"GO:0048407","ENSMUSG00000029661","Col1a2","collagen, type I, alpha 2 [Source:MGI Symbol;Acc:MGI:88468]","GO"
"GO:0048407","ENSMUSG00000031502","Col4a1","collagen, type IV, alpha 1 [Source:MGI Symbol;Acc:MGI:88454]","GO"
