ACACA,acetyl-CoA related
ACACB,acetyl-CoA related
ACAT1,acetyl-CoA related
ACAT2,acetyl-CoA related
ACOT12,acetyl-CoA related
ACSS1,acetyl-CoA related
ACSS2,acetyl-CoA related
ACYP1,Glycolysis
ACYP2,Glycolysis
DLAT,pyruvate dehydrogenase
DLD,pyruvate dehydrogenase
GLO1,lactate related
HAGH,lactate related
HAGHL,lactate related
LDHA,lacate dehydrogenase
LDHAL6A,lacate dehydrogenase
LDHAL6B,lacate dehydrogenase
LDHB,lacate dehydrogenase
LDHC,lacate dehydrogenase
LDHD,lacate dehydrogenase
ME1,Malic enzyme
ME2,Malic enzyme
ME3,Malic enzyme
PC,pyruvate carboxylase
PCK1,Glycolysis
PCK2,Glycolysis
PDHA1,pyruvate dehydrogenase
PDHA2,pyruvate dehydrogenase
PDHB,pyruvate dehydrogenase
PKLR,pyruvate kinase
PKM2,pyruvate kinase
PDK1,pyruvate dehydrogenase kinase
PDK2,pyruvate dehydrogenase kinase
PDK3,pyruvate dehydrogenase kinase
PDK4,pyruvate dehydrogenase kinase
MPC2,pyruvate transporter
MPC1,pyruvate transporter
SLC16A1,lactate/pyruvate transporter
SLC16A3,lactate/pyruvate transporter
ACLY,acetyl-CoA related
ACO1,TCA Cycle
ACO2,TCA Cycle
CS,TCA Cycle
FH,TCA Cycle
IDH1,TCA Cycle
IDH2,TCA Cycle
IDH3A,TCA Cycle
IDH3B,TCA Cycle
IDH3G,TCA Cycle
MDH1,TCA Cycle
MDH2,TCA Cycle
OGDH,TCA Cycle
OGDHL,TCA Cycle
SDHA,TCA Cycle
SDHB,TCA Cycle
SDHC,TCA Cycle
SDHD,TCA Cycle
SUCLA2,TCA Cycle
SUCLG1,TCA Cycle
SUCLG2,TCA Cycle
ALDOA,Glycolysis
ALDOB,Glycolysis
ALDOC,Glycolysis
HK1,Glycolysis
HK2,Glycolysis
HK3,Glycolysis
PGAM1,Glycolysis
PGAM2,Glycolysis
PGAM4,Glycolysis
PGK1,Glycolysis
PGK2,Glycolysis
PGM1,Glycolysis
PGM2,Glycolysis
GAPDH,Glycolysis
GPT1,Pyruvate-Alanine transaminase
GPT2,Pyruvate-Alanine transaminase
SLC2A1,Glycolysis
SLC2A2,Glycolysis
SLC2A3,Glycolysis
SLC2A4,Glycolysis
