"initial_alias","converted_alias","name","description","namespace"
"GO:0016491","ENSMUSG00000000088","Cox5a","cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]","GO"
"GO:0016491","ENSMUSG00000000168","Dlat","dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]","GO"
"GO:0016491","ENSMUSG00000000171","Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]","GO"
"GO:0016491","ENSMUSG00000000214","Th","tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]","GO"
"GO:0016491","ENSMUSG00000000253","Gmpr","guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]","GO"
"GO:0016491","ENSMUSG00000000320","Alox12","arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998]","GO"
"GO:0016491","ENSMUSG00000000399","Ndufa9","NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358]","GO"
"GO:0016491","ENSMUSG00000000673","Haao","3-hydroxyanthranilate 3,4-dioxygenase [Source:MGI Symbol;Acc:MGI:1349444]","GO"
"GO:0016491","ENSMUSG00000000693","Loxl3","lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]","GO"
"GO:0016491","ENSMUSG00000000811","Txnrd3","thioredoxin reductase 3 [Source:MGI Symbol;Acc:MGI:2386711]","GO"
"GO:0016491","ENSMUSG00000000889","Dbh","dopamine beta hydroxylase [Source:MGI Symbol;Acc:MGI:94864]","GO"
"GO:0016491","ENSMUSG00000001467","Cyp51","cytochrome P450, family 51 [Source:MGI Symbol;Acc:MGI:106040]","GO"
"GO:0016491","ENSMUSG00000001642","Akr1b3","aldo-keto reductase family 1, member B3 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1353494]","GO"
"GO:0016491","ENSMUSG00000001663","Gstt1","glutathione S-transferase, theta 1 [Source:MGI Symbol;Acc:MGI:107379]","GO"
"GO:0016491","ENSMUSG00000001999","Blvra","biliverdin reductase A [Source:MGI Symbol;Acc:MGI:88170]","GO"
"GO:0016491","ENSMUSG00000002010","Idh3g","isocitrate dehydrogenase 3 (NAD+), gamma [Source:MGI Symbol;Acc:MGI:1099463]","GO"
"GO:0016491","ENSMUSG00000002326","Gmpr2","guanosine monophosphate reductase 2 [Source:MGI Symbol;Acc:MGI:1917903]","GO"
"GO:0016491","ENSMUSG00000002332","Dhrs1","dehydrogenase/reductase (SDR family) member 1 [Source:MGI Symbol;Acc:MGI:1196314]","GO"
"GO:0016491","ENSMUSG00000002661","Alkbh7","alkB homolog 7 [Source:MGI Symbol;Acc:MGI:1913650]","GO"
"GO:0016491","ENSMUSG00000003053","Cyp2c29","cytochrome P450, family 2, subfamily c, polypeptide 29 [Source:MGI Symbol;Acc:MGI:103238]","GO"
"GO:0016491","ENSMUSG00000003484","Cyp4f18","cytochrome P450, family 4, subfamily f, polypeptide 18 [Source:MGI Symbol;Acc:MGI:1919304]","GO"
"GO:0016491","ENSMUSG00000003500","Impdh1","inosine monophosphate dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:96567]","GO"
"GO:0016491","ENSMUSG00000003526","Prodh","proline dehydrogenase [Source:MGI Symbol;Acc:MGI:97770]","GO"
"GO:0016491","ENSMUSG00000003555","Cyp17a1","cytochrome P450, family 17, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88586]","GO"
"GO:0016491","ENSMUSG00000003617","Cp","ceruloplasmin [Source:MGI Symbol;Acc:MGI:88476]","GO"
"GO:0016491","ENSMUSG00000003809","Gcdh","glutaryl-Coenzyme A dehydrogenase [Source:MGI Symbol;Acc:MGI:104541]","GO"
"GO:0016491","ENSMUSG00000003849","Nqo1","NAD(P)H dehydrogenase, quinone 1 [Source:MGI Symbol;Acc:MGI:103187]","GO"
"GO:0016491","ENSMUSG00000004035","Gstm7","glutathione S-transferase, mu 7 [Source:MGI Symbol;Acc:MGI:1915562]","GO"
"GO:0016491","ENSMUSG00000004070","Hmox2","heme oxygenase 2 [Source:MGI Symbol;Acc:MGI:109373]","GO"
"GO:0016491","ENSMUSG00000004341","Gpx6","glutathione peroxidase 6 [Source:MGI Symbol;Acc:MGI:1922762]","GO"
